ObjId,ra,dec,u,g,r,i,z,redshift,r25,votos,elip,clockwise,anticlockwise,edge_disc,dont_know,merger,combined,massa_estelar
1237657190905217071,0.0184875793908077,-0.0833543302772769,16.97106,15.18946,14.44115,14.10021,13.80658,0.02376629,10.32318,30,0.967000007629395,0,0,0.0329999998211861,0,0,0.0329999998211861,9.548616
1237657192515829922,0.0499056492412819,1.12178048431499,17.04521,16.6423,16.4959,16.56717,16.59182,0.02429344,12.42623,30,0.0329999998211861,0.933000028133392,0,0,0.0329999998211861,0,0.933000028133392,7.85472
1237663783123681399,0.0778943551331732,-0.651828929300345,18.07112,17.09988,16.74961,16.55545,16.40088,0.02906054,5.95311,60,0.300000011920929,0,0.0500000007450581,0.467000007629395,0.133000001311302,0.0500000007450581,0.517000019550323,8.394833
1237656495113765145,0.264988609624425,14.5801850945356,17.82208,17.17986,17.15851,17.47875,17.36222,0.005717654,9.362769,42,0.0710000023245811,0,0,0.0949999988079071,0.261999994516373,0.570999979972839,0.0949999988079071,6.081737
1237652942638743710,0.729624311056568,14.360013407339,18.92146,18.07632,17.96796,17.83907,17.89347,0.01920524,4.970265,50,0.5,0,0.0199999995529652,0.219999998807907,0.219999998807907,0.0399999991059303,0.239999994635582,7.236384
1237652901822333033,1.14278902551597,-9.05258503992878,16.93426,15.8412,15.35815,15.0646,14.84367,0.0291051,9.937906,60,0.18299999833107,0.150000005960464,0.017000000923872,0.116999998688698,0.532999992370605,0,0.282999992370605,8.912067
1237656494040678605,1.79866246427639,13.76817460885,16.60802,15.7699,15.56796,15.44993,15.43903,0.01794177,16.94795,32,0.061999998986721,0.061999998986721,0,0.5,0.218999996781349,0.156000003218651,0.561999976634979,7.58755
1237656494040678605,1.79866246427639,13.76817460885,16.60802,15.7699,15.56796,15.44993,15.43903,0.01794177,16.94795,28,0.0359999984502792,0,0.0359999984502792,0.214000001549721,0.679000020027161,0.0359999984502792,0.25,7.58755
1237652943713468662,3.0612974654843,15.2574747145055,18.75533,17.91726,17.57536,17.44075,17.56983,0.00626879,7.727723,28,0.179000005125999,0,0.10700000077486,0.428999990224838,0.214000001549721,0.0710000023245811,0.53600001335144,6.171283
1237673017835389183,3.96565190767447,-11.1209452310308,18.67753,17.49276,17.15288,17.04226,16.95563,0.02315683,10.49087,31,0.160999998450279,0,0.28999999165535,0.0320000015199184,0.451999992132187,0.0649999976158142,0.323000013828278,7.456743
1237657189833376029,4.35763798946044,-0.978504769986899,15.78489,14.60079,13.93357,13.58246,13.30226,0.01804651,18.37926,44,0.114000000059605,0.090999998152256,0.432000011205673,0.294999986886978,0.0230000000447035,0.0450000017881393,0.818000018596649,8.825301
1237657189833376029,4.35763798946044,-0.978504769986899,15.78489,14.60079,13.93357,13.58246,13.30226,0.01804651,18.37926,74,0.0810000002384186,0,0.0949999988079071,0.0810000002384186,0.716000020503998,0.0270000007003546,0.175999999046326,8.825301
1237672796109733939,4.71206784804323,-10.3768416531212,15.76392,14.98851,14.39791,14.09616,13.76403,0.02710202,9.63591,25,0,0.319999992847443,0,0.0399999991059303,0.600000023841858,0.0399999991059303,0.360000014305115,9.813015
1237672796109733939,4.71206784804323,-10.3768416531212,15.76392,14.98851,14.39791,14.09616,13.76403,0.02710202,9.63591,29,0,0.344999998807907,0,0.0689999982714653,0.275999993085861,0.310000002384186,0.414000004529953,9.813015
1237656496726343835,4.8355949853788,15.9781671794706,17.45604,16.62345,16.31306,16.13326,15.9995,0.01829824,9.534165,56,0.179000005125999,0.0359999984502792,0,0.39300000667572,0.179000005125999,0.214000001549721,0.428999990224838,7.670993
1237657191981187125,5.11462020893794,0.833565527389843,15.83666,13.97501,13.1838,12.77174,12.48981,0.01826793,43.66491,36,0.5,0,0,0,0,0.5,0,9.862405
1237656494042251740,5.53281421209761,13.843019562747,19.30954,18.13247,17.71786,17.53441,17.32827,0.02533237,9.695637,43,0.349000006914139,0.0230000000447035,0.0230000000447035,0.140000000596046,0.465000003576279,0,0.186000004410744,7.660458
1237652946380521750,5.5344795693628,-11.0157364657973,19.26352,18.15609,17.80731,17.55545,17.63377,0.0283228,11.53972,41,0.244000002741814,0.194999992847443,0.0729999989271164,0.293000012636185,0.145999997854233,0.0489999987185001,0.560999989509583,7.771685
1237663783126237388,5.94861937288735,-0.660953171244653,18.43096,17.54249,17.19514,17.06677,17.05556,0.01808828,8.630187,33,0.181999996304512,0,0,0.0299999993294477,0.787999987602234,0,0.0299999993294477,7.173687
1237663783126237388,5.94861937288735,-0.660953171244653,18.43096,17.54249,17.19514,17.06677,17.05556,0.01808828,8.630187,37,0.458999991416931,0.0270000007003546,0.0270000007003546,0.216000005602837,0.188999995589256,0.0810000002384186,0.270000010728836,7.173687
1237652949065269273,6.37027475149065,-8.80741809590921,17.28184,15.99285,15.48987,15.20478,15.02427,0.02105763,10.74266,52,0.153999999165535,0.153999999165535,0.0579999983310699,0.577000021934509,0.0379999987781048,0.0189999993890524,0.787999987602234,8.700177
1237663782589890862,7.13943915031618,-1.17969838230854,18.8912,17.9507,17.65572,17.53676,17.54257,0.01461005,10.68867,36,0.0280000008642673,0.0280000008642673,0,0.944000005722046,0,0,0.972000002861023,7.034715
1237657190371622981,7.45726410637138,-0.463099128473774,18.32414,17.2954,17.08788,16.96541,16.92198,0.01385001,7.861254,66,0.485000014305115,0.0149999996647239,0.0299999993294477,0.409000009298325,0.0610000006854534,0,0.455000013113022,7.177312
